Representation
"['gunshot residue', 'gunshot residues', 'inorganic gunshot', 'gsr gunshot', 'organic gunshot', 'residue gsr', 'swab swabbing', 'spectrometry', 'fingerprints', 'gunshot', 'of gunshot', 'mass spectrometry', 'contamination', 'dna evidence', 'cotton swab', 'swabbing', 'swab', 'swabs', 'chromatography', 'double swab', 'gunpowder', 'residues gsr', 'samples were', 'specimens', 'trace evidence', 'swabs were', 'dna extraction', 'ammunition', 'trace dna', 'dna bodily', 'gsr particles', 'ammunitions', 'samples and', 'gunpowders', 'dna profiling', 'of samples', 'extraction', 'crime scenes', 'firearms', 'particulates', 'of firearms', 'samples of', 'swabbed', 'bullets', 'firearm', 'residue', 'touch dna', 'fingerprint', 'black powder', 'samples from']"
"['textile fibres', 'fibre textile', 'textile fibers', 'fibres evidence', 'recovered fibres', 'fibre evidence', 'fibres present', 'of fibres', 'fibres transferred', 'wool fibres', 'fibres recovered', 'fibres used', 'fibres fibres', 'fiber evidence', 'cotton fibres', 'fibres fibre', 'transferred fibres', 'of fibre', 'fibres found', 'fibres and', 'fabrics', 'of textile', 'fibres', 'fibres from', 'fibre examination', 'polyester fibres', 'textile', 'cotton fibers', 'transferred fibers', 'fibres in', 'fibre transfer', 'textiles', 'fibres are', 'fibre examinations', 'apparel fabrics', 'of fibers', 'fibers recovered', 'fibers found', 'fibres with', 'fibers of', 'fibers from', 'fibres on', 'textile damage', 'fibers on', 'fibres to', 'matching fibres', 'fibre', 'fibre traces', 'fibers', 'fibers in']"
"['liquids arson', 'gasoline samples', 'liquids fire', 'gasoline residue', 'flammable liquid', 'gasoline residues', 'petrol residues', 'fire investigation', 'detecting petrol', 'gas chromatographymass', 'fire accelerants', 'gas chromatography', 'gasoline detection', 'liquids gasoline', 'residue fire', 'arson investigation', 'fire accelerant', 'diesel samples', 'evaporated gasoline', 'gasoline soot', 'flammable', 'ignitable liquids', 'fire debris', 'arson fire', 'liquid gasoline', 'arson bag', 'volatile residues', 'suspect arson', 'suspected arson', 'liquid residue', 'arson cases', 'gas chromatograph', 'ignitable liquid', 'combustion of', 'unleaded petrol', 'arson', 'gasoline on', 'arson scene', 'petrol were', 'volatile compounds', 'of petrol', 'petroleum product', 'gasoline or', 'chromatographymass spectrometry', 'gasoline', 'gasoline were', 'deliberate fires', 'petrol', 'combustion', 'burned material']"
"['drug contamination', 'drug testing', 'drug evidence', 'cocaine samples', 'cocaine concentrations', 'drug exposure', 'drug residues', 'urine samples', 'drugs transfer', 'drug transfer', 'cocaine content', 'for methamphetamine', 'drug liquid', 'of methamphetamine', 'illicit drug', 'psychoactive substances', 'methamphetamine consumption', 'illicit drugs', 'methamphetamine and', 'cocaine drug', 'drug background', 'drug users', 'substance use', 'drug consumption', 'chromatographymass spectrometry', 'cocaine methadone', 'drugs population', 'drug cocaine', 'drug use', 'methamphetamine the', 'chromatographytandem', 'methamphetamine', 'chromatography', 'urine specimens', 'contamination of', 'gas chromatographymass', 'drug safes', 'amphetamine methamphetamine', 'drugs drug', 'cocaine heroin', 'waste samples', 'gas chromatography', 'cocaine use', 'liquid chromatographytandem', 'liquid chromatography', 'drugs cocaine', 'drugs on', 'cocaine benzoylecgonine', 'chromatographymass', 'contamination in']"
"['gunshot residue', 'gunshot residues', 'gsr gunshot', 'method gunshot', 'xray spectrometry', 'for gunshot', 'gsr particles', 'spectrometry', 'microscope sem', 'shooting residues', 'ammunition method', 'gsr scanning', 'gsr particle', 'particles gsr', 'technique scanning', 'of gunshot', 'gunshot', 'residue particles', 'residue gsr', 'xray detector', 'plasma ashing', 'xray emission', 'microscopy sem', 'xray spectroscopy', 'electron microscopy', 'electron microscope', 'leadfree ammunitions', 'samples taken', 'detector semedx', 'spectrometer', 'scanning electron', 'ammunition', 'discharge residue', 'laboratory specific', 'xray microanalysis', 'residue detection', 'firearm discharge', 'particle search', 'pressure scanning', 'electron microscopyenergydispersive', 'ammunitions', 'hand scanning', 'electron microscopyenergy', 'dispersive xray', 'discharge residues', 'residues gsr', 'microscopy and', 'particles using', 'second ammunition', 'the sampler']"
"['testing dna', 'dna testing', 'dna pcr', 'pcr dna', 'dna samples', 'dna detection', 'dna profiles', 'dna profile', 'dna profiling', 'dna str', 'str dna', 'dna fingerprinting', 'dna laboratories', 'genetic markers', 'dna fingerprints', 'dna extraction', 'dna fingerprint', 'dna database', 'rapid dna', 'dna extracted', 'human dna', 'dna databases', 'dna identification', 'fast dna', 'dna typing', 'standard dna', 'dna polymorphism', 'paradna screening', 'dna fragment', 'dna purification', 'typing dna', 'snp assay', 'dna single', 'dna amplification', 'paternity testing', 'genomic dna', 'purified dna', 'dna blood', 'dna on', 'national dna', 'pertinent dna', 'dna or', 'dna dna', 'dna short', 'dna bodily', 'for dna', 'dna', 'dna direct', 'dna polymerase', 'degraded dna']"
"['inorganic gunshot', 'gunshot residue', 'gunshot residues', 'primer ammunition', 'leadfree ammunition', 'gsr ammunition', 'ammunition lead', 'ammunition gsr', 'nontoxic ammunition', 'different ammunition', 'ammunition scanning', 'gsr gunshot', 'lead pellets', 'ammunition', 'ammunition are', 'rimfire ammunition', 'mm ammunition', 'ammunition and', 'caliber ammunition', 'gunpowder', 'ammunitions', 'ammunition with', 'new ammunition', 'ammunition have', 'of ammunition', 'free ammunition', 'ammunition brands', 'ammunition in', 'gsr firearm', 'firing residues', 'shooter cartridge', 'sintox ammunition', 'ammunition were', 'gunshot', 'the ammunition', 'of gunshot', 'ammunition having', 'ammunition sintox', 'fired bullets', 'ammunition was', 'shot pellets', 'containing lead', 'in gunshot', 'lead barium', 'ammunition the', 'lead isotope', 'firearms', 'leadfree primers', 'in firearms', 'bullets']"
"['rna biomarkers', 'rna markers', 'rna samples', 'blood samples', 'rna assays', 'fluids rna', 'saliva samples', 'rna extraction', 'blood stain', 'profiling mrna', 'rna profiling', 'biological stain', 'biomarkers for', 'mrna markers', 'biomarkers', 'blood saliva', 'dna bodily', 'mrna marker', 'blood stains', 'dna profiling', 'mrna profiling', 'biological stains', 'semen stains', 'semen samples', 'saliva stains', 'fluids dna', 'biological sample', 'messenger rna', 'blood marker', 'rna from', 'fluid stain', 'rna isolation', 'biochemical tests', 'identification mrna', 'identification blood', 'rna profiles', 'rna and', 'semen saliva', 'rna expression', 'dna rna', 'cotton swab', 'rna', 'human blood', 'of rna', 'transcriptase pcr', 'assay format', 'rna is', 'rnas', 'pcr assays', 'fluid stains']"
"['spectroscopy explosives', 'detection explosives', 'explosives detection', 'microscopy explosives', 'fingerprints explosives', 'detect explosive', 'explosive detection', 'identify explosives', 'explosives residues', 'residue explosives', 'explosive residue', 'raman spectrometer', 'detection raman', 'raman spectroscopy', 'explosive compounds', 'explosive raman', 'explosive materials', 'explosive substances', 'explosive traces', 'explosives particles', 'explosive residues', 'explosives explosives', 'laser spectroscopy', 'raman microscopy', 'detection tnt', 'spectroscopy techniques', 'different explosives', 'explosives explosive', 'raman chemical', 'of explosivecontaminated', 'infrared spectroscopy', 'explosives on', 'trace explosive', 'raman spectra', 'organic explosives', 'explosives in', 'explosive devices', 'explosivecontaminated', 'explosive particles', 'spectrometer', 'spectroscopy', 'where explosives', 'explosives', 'explosive precursor', 'spectroscopy ftir', 'high explosives', 'explosives is', 'spectromicroscopy', 'explosives as', 'explosives and']"
"['spectroscopy cosmetics', 'spectrometry cosmetics', 'chemometrics cosmetics', 'lipstick samples', 'evidence cosmetics', 'lipsticks cosmetics', 'cosmetics lipstick', 'lipstick stains', 'lipstick traces', 'lipsticks using', 'lipstick sample', 'cosmetic lipstick', 'lip cosmetics', 'lipstick smears', 'cosmetics cosmetic', 'different lipsticks', 'cosmetics', 'lipsticks smudges', 'different lipstick', 'lipstick discrimination', 'shade lipsticks', 'lipstick method', 'each lipstick', 'lipstick', 'lipsticks are', 'of lipsticks', 'cosmetics are', 'lipsticks with', 'lipstick smear', 'lipstick are', 'cosmetic evidence', 'lipsticks of', 'cosmetic powders', 'lipsticks for', 'cosmetic products', 'of cosmetics', 'of lipstick', 'lipsticks', 'lipstick is', 'sunscreen samples', 'lipstick sources', 'reference lipstick', 'red lipsticks', 'mascara samples', 'between lipstick', 'red lipstick', 'in lipstick', 'saliva lipstick', 'various pigments', 'lipsticks were']"
"['participants dna', 'dna transfer', 'transferred dna', 'touch dna', 'dna evidence', 'persons dna', 'transfer dna', 'dna deposition', 'dna touch', 'dna bodily', 'dna present', 'dna deposited', 'deposit dna', 'dna on', 'dna recovered', 'background dna', 'transfer experiments', 'dna shedder', 'dna', 'how dna', 'dna through', 'singlesource dna', 'dna in', 'on dna', 'indirect dna', 'users dna', 'dna for', 'dna to', 'dna profiles', 'dna of', 'dna and', 'dna from', 'of dna', 'foreign dna', 'dna dna', 'dna profile', 'less dna', 'the dna', 'indirectlytransferred dna', 'secondary dna', 'nonself dna', 'dna contribution', 'mixed dna', 'relative dna', 'fluid dna', 'dna by', 'interactions dna', 'dna left', 'dna than', 'transfer touch']"
"['dna evidence', 'dna swabs', 'crime samples', 'dna samples', 'dna contamination', 'dna testing', 'crime sample', 'dna sample', 'crime investigations', 'detect dna', 'dna analyses', 'dna traces', 'crime laboratory', 'dna profiling', 'analyzed crime', 'forensics', 'forensics and', 'dna results', 'police contamination', 'identifiable dna', 'dna trace', 'detecting crime', 'dna database', 'trace dna', 'digital evidence', 'dna profiles', 'crime detected', 'evidence collection', 'dna profile', 'human dna', 'biological evidence', 'dna in', 'dna on', 'national dna', 'crime cases', 'dna', 'of dna', 'evidence collectors', 'dna dna', 'crime scenes', 'on dna', 'detect contamination', 'dna transfer', 'collect evidence', 'investigations', 'process crime', 'evidencebased approach', 'crime scene', 'environmental dna', 'whether dna']"
"['pollen evidence', 'pollen samples', 'pollen assemblages', 'pollen content', 'pollen taxa', 'pollen data', 'pollen assemblage', 'soil pollen', 'pollen species', 'pollenspore assemblages', 'pollen of', 'pollen pollen', 'pollen profiles', 'pollen spectrum', 'of pollen', 'persistence pollen', 'pollen spectra', 'different pollen', 'atmospheric pollen', 'pollen grains', 'fossil pollen', 'grass pollen', 'pollen soil', 'on pollen', 'pollen counts', 'dust pollen', 'population pollen', 'pollen distribution', 'pollen', 'pollen in', 'pollen and', 'indoor pollen', 'pollen types', 'pollen from', 'pollen microscopy', 'pollen deterioration', 'pollen were', 'pollenspore types', 'pollen at', 'cattail pollen', 'pollen on', 'trap pollen', 'pollen population', 'pollen load', 'pollen collectors', 'pollen is', 'in pollen', 'some pollen', 'pollen was', 'three pollen']"
"['spectrometry explosives', 'explosives traces', 'explosives detection', 'explosive residue', 'explosive materials', 'explosives using', 'explosive residues', 'explosive compound', 'explosives tnt', 'explosive mixtures', 'explosive detection', 'different explosives', 'explosives of', 'organic explosives', 'explosives explosive', 'explosives in', 'trace explosive', 'explosives on', 'military explosives', 'explosive material', 'explosive trace', 'explosive devices', 'explosive tnt', 'collected explosive', 'explosives and', 'explosives', 'in explosives', 'of explosives', 'commercial explosives', 'explosives were', 'high explosives', 'explosives the', 'materials contaminated', 'explosives which', 'an explosive', 'state explosives', 'the explosives', 'each explosive', 'improvised explosive', 'explosive transfer', '246trinitrotoluene tnt', 'spectrometry', 'explosive in', 'mass spectrometry', 'collection explosive', 'explosive', 'explosive was', 'of explosive', 'model explosive', 'mobility spectrometry']"
"['postcoital swab', 'swabs dna', 'assault dna', 'dna evidence', 'dna testing', 'vaginal samples', 'victimassailant dna', 'vaginal swabs', 'vaginal swab', 'swab sexual', 'penile swabs', 'conventional swab', 'penile swab', 'oral swabs', 'swab vaginal', 'anal swabs', 'penis swabs', 'dna sexual', 'swab collected', 'biological evidence', 'male dna', 'anal swab', 'swabs taken', 'swab swabbing', 'female dna', 'dna bodily', 'swab sampling', 'obtaining dna', 'swabs collected', 'alleged sexual', 'assailant dna', 'swabs or', 'swab revealed', 'laboratory evidence', 'sperm elution', 'cases dna', 'swabs from', 'vaginal sampling', 'body swabs', 'semen blood', 'swabs and', 'swab', 'cotton swab', 'swabs for', 'sexual assault', 'dna result', 'revealed dna', 'swabs', 'skin swabs', 'swabs in']"
"['gunshot residue', 'gsr gunshot', 'firearms residue', 'ammunition gsr', 'firearms gsr', 'laboratory gunshot', 'gsr explosives', 'bullets gsr', 'explosives gunshot', 'gunshot primer', 'gunshot discharge', 'residue gsr', 'firearm traces', 'weapons gsr', 'firearms discharge', 'gsr shot', 'gunshot', 'gunshot residuesmodern', 'firearms ammunition', 'shot gsr', 'police ammunitions', 'of gunshot', 'firearm identification', 'trace gsr', 'residues gsr', 'ammunitions used', 'traces gsr', 'various ammunition', 'explosive firearm', 'swab explosive', 'police gsr', 'gunfiring detection', 'ammunition police', 'bullet fragments', 'in firearms', 'firearms case', 'residue contamination', 'spectroscopy gsr', 'test gsr', 'gsr technical', 'guideline ammunition', 'source gsr', 'microscopy gsr', 'cartridges gsr', 'shooter identification', 'nyclad ammunition', 'for ammunitions', 'discharge residue', 'firearms', 'status gsr']"
"['paint evidence', 'paint samples', 'automotive paint', 'automotive paints', 'paint examiners', 'automobile paint', 'paint microscopy', 'paint sample', 'paint smears', 'paint comparisons', 'evidence paint', 'car paints', 'paints collected', 'car paint', 'paint search', 'paint systems', 'paint data', 'paint paint', 'clearcoat samples', 'paint traces', 'questioned paint', 'paint method', 'paint system', 'intact paint', 'paint transfer', 'paints taken', 'paint components', 'paint types', 'purposes paint', 'paint car', 'repainted cars', 'paint fragment', 'paint from', 'paint fragments', 'spectrometry automotive', 'paint population', 'metallic paints', 'red paint', 'paint review', 'paint', 'paints', 'spectrometry for', 'spectrometry', 'candidate paints', 'solid paint', 'paint chip', 'paints for', 'painting', 'green paint', 'paint for']"
"['cocaine banknote', 'banknote cocaine', 'banknotes drugs', 'drug banknote', 'cocaine contamination', 'contaminated banknotes', 'banknotes contaminated', 'contamination cocaine', 'banknote contamination', 'banknotes analyzed', 'examined banknotes', 'cocaine determination', 'drug contamination', 'currency drugs', 'cocaine extraction', 'banknotes circulating', 'banknotes collected', 'banknote amphetamine', 'banknotes obtained', 'banknotes using', 'banknotes taken', 'seized banknotes', 'banknotes in', 'in banknotes', 'banknotes used', 'banknotes from', 'banknotes seized', 'from banknotes', 'cocaine population', 'banknotes and', 'banknotes with', 'cocaine metabolites', 'drug transaction', 'on banknotes', 'banknotes', 'of banknotes', 'banknotes were', 'cocaine per', 'banknotes are', 'banknote gas', 'banknote and', 'banknotes by', 'banknotes is', 'us banknotes', 'study banknote', 'banknote', 'banknote in', 'banknotes could', 'banknotes can', 'bank notes']"
"['hair dna', 'hairs dna', 'dna hair', 'hair specimens', 'dna studies', 'dna samples', 'mtdna variation', 'mtdna mixtures', 'dna extraction', 'mtdna sequencing', 'dna extracted', 'extracted dna', 'hair mitochondrial', 'dna mtdna', 'mtdna from', 'dna profiling', 'mitochondrial dna', 'of mtdna', 'mtdna for', 'dnaextraction method', 'improved dnaextraction', 'hair samples', 'dna present', 'mtdna', 'dna nudna', 'the mtdna', 'mtdna typing', 'dna of', 'to mtdna', 'mtdna the', 'categorical mtdna', 'dna isolated', 'mtdna mitochondrial', 'mtdna can', 'dna from', 'automated dna', 'dnaextraction', 'ndna', 'hair sample', 'dna sequencing', 'puried dna', 'casework dna', 'dna extracts', 'contaminant dna', 'for nudna', 'ancient dna', 'dna for', 'dna dna', 'human hair', 'dna']"
"['hair distributions', 'hairs obtained', 'human hair', 'hair distribution', 'microscopy hair', 'hairs exhibiting', 'human hairs', 'hair composition', 'hair examination', 'hair samples', 'hair retrieval', 'identifying hairs', 'microscopic hair', 'hair scalinessand', 'hair identification', 'hair ultrastructure', 'hairs revealed', 'hair keratiniziation', 'hair comparison', 'hair method', 'hairs hair', 'mammalian hair', 'hair abstract', 'hair changes', 'hair follicles', 'hair types', 'hair congenital', 'hair population', 'questioned hairs', 'congenital hair', 'hair denature', 'hair pigmentation', 'hair examiner', 'hair probative', 'hair defects', 'hair growth', 'hair medulla', 'hair identities', 'comparison hair', 'hair shape', 'linear hair', 'hair categories', 'hairs', 'hair hair', 'normal hair', 'of hairs', 'hair defect', 'hairs from', 'scalp hair', 'proteins hair']"
"['dna contamination', 'dna samples', 'dna monitoring', 'dnatyping laboratory', 'tests dna', 'dnatyping procedures', 'dna extraction', 'dna extracted', 'dna decontamination', 'dna profiling', 'dna removal', 'dna profile', 'dna degradation', 'dna profiles', 'environmental dna', 'dna storage', 'human dna', 'dna isolated', 'dna quantity', 'dna dna', 'prevent dna', 'dna on', 'dna fragments', 'nonhuman dna', 'dna extracts', 'of dnatyping', 'dna', 'dna loss', 'dna interpretation', 'dna at', 'dnatyping', 'acid dna', 'dna saliva', 'dna in', 'dna bodily', 'dna from', 'laboratory contamination', 'of dna', 'in dnatyping', 'extraneous dna', 'genomic dna', 'number dna', 'dna typing', 'subsequent dna', 'dna and', 'dna the', 'dna bloodstain', 'genetic analyser', 'dna were', 'blood samples']"
"['gunpowder samples', 'smokeless powders', 'smokeless powder', 'powder samples', 'smokeless gunpowder', 'powder ammunition', 'powder compounds', 'handgun powder', 'gunshot residue', 'powder sample', 'powder constituents', 'gunpowder propellant', 'powder comparisons', 'powder propellants', 'powder additives', 'gsr gunpowder', 'gas chromatography', 'powder handgun', 'powders using', 'powder components', 'explosives smokeless', 'powder gas', 'powder measurements', 'munitions containing', 'gunpowder stabilizers', 'organic gunshot', 'propellant smokeless', 'smokeless handgun', 'gunpowder', 'mass spectrometry', 'powder method', 'gas chromatographyelectron', 'liquid chromatography', 'powder is', 'of gunpowder', 'powders from', 'powders were', 'powder were', 'gunpowders', 'singlebased powders', 'ammunition', 'black powder', 'powders and', 'powder', 'mass spectrometric', 'chromatography were', 'reloading powders', 'spectrometry gsr', 'chromatography', 'explosive smokeless']"
"['gunshot residue', 'gunshot residues', 'tests ammunition', 'gsr gunshot', 'residue swab', 'spectrometry gsr', 'mass spectrometry', 'gunshot', 'for gunshot', 'of gunshot', 'spectrometry', 'shot tests', 'antimony detection', 'in gunshot', 'firearm discharge', 'swab study', 'bullet method', 'gsr swab', 'hand swab', 'gsr firearm', 'hand swabs', 'firearm used', 'swab extract', 'absorption spectrometry', 'gsr metals', 'barium determination', 'spectrometry gfaas', 'ammunition', 'sb concentrations', 'bullet lead', 'plasmamass spectrometry', 'swab collectors', 'lead antimony', 'barium lead', 'bullet types', 'of firearm', 'munitions', 'of firearms', 'firearm', 'firearms', 'the firearm', 'residue gsr', 'shotgun pellets', 'contamination', 'collection swabs', 'spectrometry icpms', 'to gunshot', 'bullet', 'wound samples', 'discharge residue']"
"['clothing glass', 'glass clothing', 'glass fragments', 'glass evidence', 'glass fragment', 'crime glass', 'glass encountered', 'glass headwear', 'matching glass', 'footwear glass', 'glass during', 'glass transfer', 'glass particles', 'finding glass', 'glass recovery', 'glass survey', 'transferred glass', 'breaking glass', 'glass found', 'glass distribution', 'glass item', 'glass respectively', 'glass present', 'glass glass', 'broken glass', 'container glass', 'glass', 'nonmatching glass', 'survey glass', 'glass from', 'of glass', 'glass in', 'glass and', 'glass were', 'glass microtraces', 'suspects clothing', 'glass to', 'drinking glass', 'glass paint', 'garments collected', 'glass on', 'glass both', 'paint glass', 'glass refractive', 'of glasspart', 'glass migrate', 'for glass', '2000 glass', 'than glass', 'glass have']"
"['samples spermatozoa', 'sperm findings', 'intact spermatozoa', 'spermatozoa after', 'of spermatozoa', 'have spermatozoa', 'spermatozoa following', 'spermatozoa on', 'semen spermatozoa', 'spermatozoa sexual', 'spermatozoa and', 'sperm spermatozoa', 'spermatozoa sperm', 'spermatozoa semen', 'for spermatozoa', 'spermatozoa generally', 'cases spermatozoa', 'spermatozoa can', 'spermatozoa with', 'spermatozoa the', 'spermatozoa in', 'spermatozoa could', 'spermatozoa', 'spermatozoa by', 'the spermatozoa', 'finding sperm', 'observing sperm', 'spermatozoa acid', 'fluids spermatozoa', 'with spermatozoa', 'had spermatozoa', 'spermatozoa decreased', 'spermatozoa are', 'spermatozoa were', 'sperm semen', 'seminal stains', 'spermatozoa prostatic', 'sperm scoring', 'semen detection', 'sperm positive', 'sperm presence', 'sperm identification', 'sperm counts', 'semen sperm', 'semen identification', 'motile spermatozoa', 'spermpositive', 'of spermaturia', 'semen exposure', 'semen stains']"
"['fingerprints dna', 'swabbing fingerprints', 'fingerprint dna', 'dna fingerprint', 'fingerprint powder', 'fingerprints and', 'fingerprints from', 'fingerprints', 'fingerprints on', 'fingerprints of', 'groomed fingerprints', 'identifiable fingerprints', 'fingerprint reagents', 'fingerprints in', 'in fingerprints', 'fingerprints can', 'fingerprints are', 'from fingerprints', 'fingerprints as', 'of fingerprints', 'fingerprint blood', 'latent fingerprints', 'fingerprints is', 'the fingerprints', 'fingerprints were', 'as fingerprints', 'samples dna', 'fingerprint touch', 'dna contamination', 'bloody fingerprints', 'all fingerprints', 'fingerprints left', 'fingerprint brush', 'fingerprint development', 'fingerprint brushes', 'fingermark fingerprint', 'using fingerprint', 'fingerprint fingermark', 'latent fingerprint', 'fingerprints the', 'fingerprint fingerprint', 'after fingerprint', 'touch dna', 'before fingerprint', 'fingerprint and', 'fingerprint', 'fingerprints deposited', 'fingerprint lifting', 'fingerprint processing', 'dna profiling']"
"['remains dna', 'dna specimens', 'bones dna', 'analyzed dna', 'dna samples', 'dna recovery', 'dna extracted', 'dna extraction', 'dna extractions', 'samples dna', 'bone dna', 'dna preservation', 'ancient dna', 'skeletal remains', 'human remains', 'identification dna', 'dna cremated', 'dna bone', 'using dna', 'dna identification', 'dna ancient', 'dna missing', 'remains analyzed', 'mtdna sequencing', 'mtdna dna', 'dna mtdna', 'remains identification', 'dna from', 'degraded dna', 'skeletons excavated', 'dna for', 'dna isolation', 'dna degradation', 'dna dna', 'dna ranging', 'of mtdna', 'bone samples', 'bone remains', 'dna', 'mitochondrial dna', 'mtdna', 'dna contained', 'genomic dna', 'dna and', 'dna in', 'ancestry informative', 'dna others', 'of dna', 'dna typing', 'nuclear dna']"
